case,Dice,IoU,TP,FP,FN
case_044,0.9006201579145876,0.8192074508171828,72830,11584,4489
case_045,0.8653521485681521,0.7626614261650758,67915,18293,2842
case_046,0.9440820767915437,0.8940866103711032,151832,16085,1901
case_047,0.9252524196113806,0.8609020727237342,106163,13780,3373
case_048,0.9160871638315923,0.8451668190127971,73969,11368,2183
case_049,0.8503404645771961,0.7396454675291944,61628,5126,16567
case_050,0.9039364139241214,0.824711654877971,129422,9775,17733
case_051,0.8969339574847508,0.813128065695442,88522,14775,5569
case_052,0.9296857704384757,0.8686101191229981,102886,9282,6281
case_053,0.9213870585949231,0.8542332686966092,130397,7863,14388
case_054,0.8773139529688594,0.7814419314187172,58909,15516,960
case_055,0.8802609048305696,0.786130366107629,78139,8885,12373
case_056,0.9200957903139502,0.8520161159307275,52445,2805,6304
case_057,0.8831154874330006,0.7906954367227154,65740,15482,1920
case_058,0.9312106128143585,0.8712760661541015,78759,6544,5092
case_059,0.8454641320147063,0.7322978483899953,74162,1851,25260
case_060,0.9340796574639847,0.8763128164358341,125658,4087,13649
case_061,0.9135422908359659,0.8408447776019589,145599,22024,5535
case_062,0.9023259806025233,0.8220345609508171,73591,2827,13105
case_063,0.9042496230854856,0.8252332302469573,128351,14079,13103
case_064,0.8531991206756913,0.7439819205391554,73742,294,25082
case_065,0.9082498951086985,0.8319210513830242,87672,4681,13032
case_066,0.8484931770396735,0.7368546673986204,61744,20636,1414
case_067,0.9228449097748271,0.8567428387512069,133095,8087,14168
case_068,0.8551094159914869,0.7468918234942253,81161,16087,11417
case_069,0.8723609658548919,0.7736172121039168,75905,2996,19216
case_070,0.9109142364956319,0.8364026663653824,103642,6244,14028
case_071,0.9453919586034616,0.8964391712313798,127159,13166,1524
case_072,0.9275832665822589,0.8649466552299078,89746,9545,4468
case_073,0.839810559550956,0.723856406782941,59847,3064,19767
case_074,0.8663610102562743,0.764230075089537,81726,16067,9146
case_075,0.8927158101580197,0.8062210391402937,98130,21997,1589
